SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Name,LOD
212,"def hello():
    a = 6
    b = 9
    while(a<=20):
        a+=5
        for j in range(2,9):
            b+=j
    print(a,b)
hello()

What are the final values of a and b respectively","11, 44","18, 44","16, 79","21, 144",d,harsh vardhan,Easy
213,"def hello():
    a = 6
    b = 9
    while(a<=20):
        b+=5
        for j in range(2,9):
            b+=j
    print(a,b)
hello()

What are the final values of a and b respectively","6, 49",Infinite loop,"16, 80","21, 145",b,harsh vardhan,Easy
214,"def hello():
    a = 6
    b = 9
    while(b<=20):
        b+=5
        for j in range(2,9):
            b+=j
    print(a,b)
hello()

What are the final values of a and b respectively","6, 49",Infinite loop,"16, 81","21, 146",a,harsh vardhan,Easy
215,"l = [10, 11, 12, 18, 19]
def hello():
    for i in range(0, len(l)):
        if(l[i]>15):
            l[i]/=3
    l2 = [int(x) for x in l]
    print(l2)
hello()

what is the ouput of the above code?","[3, 3, 4, 18, 19]","[10, 11, 12, 6, 6]","[10, 3, 4, 6, 6]","[3, 3, 4, 6, 6]",b,harsh vardhan,Easy
216,"l = [10, 11, 12, 18, 19]
def hello():
    for i in range(0, len(l)):
        if(l[i]<13):
            l[i]/=3
    l2 = [int(x) for x in l]
    print(l2)
hello()

what is the ouput of the above code?","[3, 3, 4, 18, 19]","[10, 11, 12, 6, 6]","[10, 3, 4, 6, 6]","[3, 3, 4, 6, 6]",a,harsh vardhan,Easy
217,"l = [10, 11, 12, 18, 19]
def hello():
    for i in range(0, 2):
        if(l[i]<13):
            l[i]/=3
    l2 = [int(x) for x in l]
    print(l2)
hello()

what is the ouput of the above code?","[3, 3, 4, 18, 19]","[10, 11, 12, 6, 6]","[3, 3, 12, 18, 19]","[3, 3, 4, 6, 6]",c,harsh vardhan,Easy
218,"l = [10, 11, 12, 18, 19]
def hello():
    i = 0
    while(l[2]<20):
        l[2] +=3
        i = i+1
        if i == 3:
            break
    print(l)
hello()

what is the ouput of the above code?","[10, 11, 21, 18, 19]","[10, 11, 20, 18, 19]","[10, 11, 26, 18, 19]",Infinite loop,a,harsh vardhan,Easy
219,"def adg():
    a = 1
    b = 4
    while(a<=b):
         a+=5
         b+=2
    print(a,b)
adg()

what is the ouput of the above code?","11, 8","11, 9","6, 5",None,a,harsh vardhan,Easy
220,"A = ""And now for something completely different.""
 B = ""And not too expensive!""
 C = ""An African or European swallow?""
 D = A < B
 E = B < C
 print( D, E ) # Line 1
 print( A[5], A[-4] ) # Line 2
 print( B[-6:] ) # Line 3
 print( C[:7] ) # Line 4

What will be displayed by the Python code labeled ""Line 1"" ?",False False,False True,True False,None of the above.,A,Haneet,Easy
221,"A = ""And now for something completely different.""
 B = ""And not too expensive!""
 C = ""An African or European swallow?""
 D = A < B
 E = B < C
 print( D, E ) # Line 1
 print( A[5], A[-4] ) # Line 2
 print( B[-6:] ) # Line 3
 print( C[:7] ) # Line 4

What will be displayed by the Python code labeled ""Line 2"" ?
",o e,n r,completely for,different. now,A,Haneet,Easy
222,"A = ""And now for something completely different.""
 B = ""And not too expensive!""
 C = ""An African or European swallow?""
 D = A < B
 E = B < C
 print( D, E ) # Line 1
 print( A[5], A[-4] ) # Line 2
 print( B[-6:] ) # Line 3
 print( C[:7] ) # Line 4

What will be displayed by the Python code labeled ""Line 3"" ?",sive!,nsive!,ot too expensive!,not too expensive!,B,Haneet,Easy
223,"A = ""And now for something completely different."" 
B = ""And not too expensive!"" 
C = ""An African or European swallow?"" 
D = A < B E = B < C print( D, E ) # Line 1 
print( A[5], A[-4] ) # Line 2 
print( B[-6:] ) # Line 3 
print( C[:7] ) # Line 4

What will be displayed by the Python code labeled ""Line 4"" ?",wallow?,swallow?,An Afr,An Afri,d,Haneet,Easy
224,"def final( P1, P2, P3 ): 
       P1[4] = ""shrubbery"" 
       if len(P2) > 3: 
            P2 = P2[:3] 
        P3.append( ""King of the Britons"" ) 
return "" "".join( P2 )

 A = ""That is no ordinary rabbit"".split()
 B = ""Four shalt thou not count"".split() 
C = ""Arthur"".split() D = final( A, B, C ) 
print( A ) # Line 1 
print( B ) # Line 2 
print( C ) # Line 3 
print( D ) # Line 4

What will be displayed by the Python code labeled ""Line 1"" ?",’That is no ordinary shrubbery’,’That is no ordinary rabbit’,"[’That’, ’is’, ’no’, ’ordinary’, ’shrubbery’]","[’That’, ’is’, ’no’, ’ordinary’, ’rabbit’]",c,Haneet,Easy
225,"def final( P1, P2, P3 ): 
       P1[4] = ""shrubbery"" 
       if len(P2) > 3: 
            P2 = P2[:3] 
        P3.append( ""King of the Britons"" ) 
return "" "".join( P2 )

 A = ""That is no ordinary rabbit"".split()
 B = ""Four shalt thou not count"".split() 
C = ""Arthur"".split() D = final( A, B, C ) 
print( A ) # Line 1 
print( B ) # Line 2 
print( C ) # Line 3 
print( D ) # Line 4

 What will be displayed by the Python code labeled ""Line 2""","""Four shalt thou""","""Four shalt thou not count""","[’Four’, ’shalt’, ’thou’]","[’Four’, ’shalt’, ’thou’, ’not’, ’count’]",c,Haneet,Easy
226,"Which of the following gives an error?
Assume A and B are 2 strings",A+B,A-B,A*8,All of the above,b,harsh vardhan,Easy
227,"What is the output of the following code?
for i in [1,2,3,4,5][::-1]:
    print(i)","5
4
3
2
1",5 4 3 2 1 ,1 2 3 4 5,Error,a,harsh vardhan,Easy
228,"What is the output of the following code?
print(len([""WElcOme tO AdG"".lower(),2, 4, 6, 9]))",14,5,4,Error,c,harsh vardhan,Easy
229,"What is the output of the following code?
print(""%.3f""%99.4567)",99.4,99.45,99.456,99,c,harsh vardhan,Easy
230,Which of the following is a built-in function in python?,print(),printf(),randint(),sqrt(),a,harsh vardhan,Easy
231,"print(7**(2/2%4))
What is the output of the above code?",7,2,0,0.5,a,harsh vardhan,Easy
232,"print(3<<2)
What is the output of the above code?",4,12,9,10,b,harsh vardhan,Easy
233,What keyword is used to create anonymous functions during runtime?,def,lambda,anon,Anonymous functions cannot be made,b,harsh vardhan,Easy
234,"print(9//4*6)
What is the output of the above code?",12,0,13.5,0,a,harsh vardhan,Easy
235,"print(start=""hi "", ""hello"", end=""&&&"")
What is the output of the above code?",hihello&&&,hello&&&,Error,hihello,c,harsh vardhan,Easy
236,"def adg2():
    a = 8
    b = 12
    flag = True
    while(flag):
        counter += 1
        if(a<b):
            a+=1
        else:
            flag = False
adg2()

How many times does the loop execute?",4,5,6,Infinte,b,harsh vardhan,Easy
237,"print(7*4%8)
What is the output of the above code?",3,4,28,None,b,harsh vardhan,Easy
238,"print(7**2/2%4)
What is the output of the above code?",2,0,0.5,24.5,c,harsh vardhan,Easy
239,What is printed by: print(2**3),6,8,5,9,B,Jatin Dhall,Easy
240,"Given: x = 7
    what is printed by: print(0 <= x <= 7)",0,7,TRUE,FALSE,C,Jatin Dhall,Easy
241,"Given s = ""To be, or not to be, that is the question:""
    which code produces the following?
   ['To be', 'or not to be', 'that is the question']",L = s.split().strip(),"L = s.split(',').strip()      #no space after comma","L = s.strip(',:').split(',')  #no space after comma","L = s.strip(',:').split(', ') #space after comma",D,Jatin Dhall,Easy
242,"What is the output when the following for loop is executed?

    for i in range(3,9,3):
	    print(i, end = ' ')",3 4 5 6 7 8 9 ,3 4 5 6 7 8,None of the above,3 6,D,Jatin Dhall,Easy
243,"What does this expression return?
{a*b for a in range(3) for b in range(3)}","{0, 1, 2, 3, 4, 6, 9}","{0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9}","{0, 1, 2, 4}","{0, 0, 0, 0, 1, 2, 0, 2, 4}",C,Jatin Dhall,Easy
244,"Given the list L = [('a', 1), ('b', 7), ('c', 5), ('d', 2)]
    what code generates D = {'a': 1, 'b': 7, 'c': 5, 'd': 2}?",D = dict(L),"D = { x:y for x,y in L }"," D = dict([(x,y) for x,y in L])",All of the above,D,Jatin Dhall,Easy
245,"Given: S1 = {1,2,3} and S2 = {2,3,4}
    what is the value of S after this operation: S = S1 ^ S2",{1},"{2, 3}","{1, 4}","{1, 2, 3, 4}",C,Jatin Dhall,Easy
246,"Given: 
    def f():
       return 5,6
    
    x = f()
    
    What is the type of x?",set,tuple,list,int,B,Jatin Dhall,Easy
247,"What is the output of the code shown below?

    D = {'mouse':{},'human':{}}   # all curly braces in this line
    D['mouse']['2'] = 3
    D['human']['1'] = 4
    D['mouse']['2'] += 5
    print(D)","{'mouse': {'2': 3}, 'human': {'1': 9}}","{'mouse': {'2': 3}, 'human': {'1': 5}}","{'mouse': {'2': 5}, 'human': {'1': 4}}","{'mouse': {'2': 8}, 'human': {'1': 4}}",D,Jatin Dhall,Easy
248,"Given D = {'a': 10}
    What code changes D to be {'a': 1}?",D['a'] -= 9,"D['a'] = D.get('a',0) - 9","try:
            D['a'] += 1
        except KeyError:
            D['a'] = 1",All of the above,AB,Jatin Dhall,Easy
249,"Given s = {1,2,3}
    what is printed by print(s.remove(3))",None,{},"{1, 2}","{1, 2, 3}",A,Jatin Dhall,Easy
250,"What is printed by?
    print(3**2+1)",7,28,10,16,C,Jatin Dhall,Easy
251,"What is printed by?

      val1 = 2                  
      val2 = 3                  
      val1, val2 = val2, val1   
      print(val1, val2)  ",3 2,2 3,2,3,A,Jatin Dhall,Easy
252,"What is printed by this sequence of instructions?

       x = 0
       y = 1
       z = 1
       print(x or (y and not z))",1,0,TRUE,FALSE,BD,Jatin Dhall,Easy
253,"What is printed by?
       a = 30
       if a == 3 or not(a < 20):
          print(""Yes"")
       else:
          print(""No"")",Yes,No,a is 3,None,A,Jatin Dhall,Easy
254,"What is printed by?
   
      for i in range(10,2,-2):
         print(i, end = ' ')   # the string is a single space",10 8 6 4 2,2 4 6 8 10,10 8 6 4,2 4 6 8,C,Jatin Dhall,Easy
255,"Given pi = 3.141592653589793
    What is printed by
        print(""{:>10.3f}"".format(pi))
    (The sting of digits 0123456789012345 is to help you determine alignment.)","3.141
        0123456789012345","3.142
        0123456789012345 "," 3.141
        0123456789012345","3.142
        0123456789012345 ",B,Jatin Dhall,Easy
256,"What is printed by
   
      nums=list()
      for n in range(4):
          nums.insert(0,n**2)
      print(nums)"," [9,4,1,0] ","[1,4,9,25]","[0,1,4,9]","[25,9,4,1]",A,Jatin Dhall,Easy
257,,,,,,,,Easy
258,"print(""Hello. BOys"".title())
What is the output of the above code?",Hello. Boys,Hello. boys,HELLO. Boys,Hello. BOYS,a,harsh vardhan,Easy
259,"print(""Hello. BOys"".capitalize())
What is the output of the above code?",Hello. Boys,Hello. boys,HELLO. Boys,Hello. BOYS,b,harsh vardhan,Easy
260,"What is printed by?
        s = ""Clifford""
        for c in s:
           print(c, end = ' ')    # the string is a single space",Clifford,C l i f f o r d,c c c c c c c c,1234567,B,Jatin Dhall,Easy
261,"What is printed by?

    count = 0

    while count < 4:
        print('count',end = ' ')   # the string is a single space
        count += 1",0 1 2 3 4,0 1 2 3,count count count count,count 0 1 2 3,C,Jatin Dhall,Easy
262,"What is printed by this sequence of instructions?

       L1 = [2,4]
       L2 = [3,5]
       print(L1 + L2)","[2, 4, 3, 5]","[2, 3, 4, 5]","[[2, 4], [3, 5]]","[2, 4, [3, 5]]",A,Jatin Dhall,Easy
263,Which of the following prints the first three multiples of three: 3 6 9,"for i in range(3,12,3):
           print(i, end=' ')","for i in range(1,5):
           print(3*i, end = ' ')","for i in range(3):
           print(3*i, end=' ')",All of the above.,A,Jatin Dhall,Easy
264,"def final( P1, P2, P3 ): 
       P1[4] = ""shrubbery"" 
       if len(P2) > 3: 
            P2 = P2[:3] 
        P3.append( ""King of the Britons"" ) 
return "" "".join( P2 )

 A = ""That is no ordinary rabbit"".split()
 B = ""Four shalt thou not count"".split() 
C = ""Arthur"".split() D = final( A, B, C ) 
print( A ) # Line 1 
print( B ) # Line 2 
print( C ) # Line 3 
print( D ) # Line 4

What will be displayed by the Python code labeled ""Line 3""","""ArthurKing of the Britons""","""Arthur King of the Britons""",[’ArthurKing of the Britons’],None of the Above,d,Haneet,Easy
265,"Given s = ""Head, Shoulders, Knees and Toes""
    which code produces the following?
    ['Head', 'Shoulders', 'Knees and Toes']","s.split(',') #Note no space","s.split(', ')    # Note one space after comma", s.split().strip(),list(s),B,Jatin Dhall,Easy
266,"Consider this code
  L1 = [1,2]
  L2 = [3, L1, 4]
  L1.append(5)
  print(L2)   # Line 1

  What is printed by Line 1?"," [3, 'L1', 4]","[3, [1, 2], 4]","[3, [5], 4]","[3, [1, 2, 5], 4]",D,Jatin Dhall,Easy
267,"Given this sequence of instructions:

    L1 = [1,2,3]
    L2 = ['a',L1[:],'b',L1]
    L1.append(4)
    print(L2)

    What is printed?","['a',L1[:],'b',L1]","['a', [1, 2, 3, 4], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3,4], 'b', [1, 2, 3]]",C,Jatin Dhall,Easy
268,"What is printed by
   
    T1 = (7,8)
    T1 += (2,1)
    print(T1)","((7, 8), (2, 1))","(7, 8, 2, 1)","(9, 9)","(1, 2)",B,Jatin Dhall,Easy
269,"Given M = {'Bob': 75, 'Alice': 27}
    What is printed by 
        print(M['Alice'])",75,27,Alice',Alice' : 27,B,Jatin Dhall,Easy
270,The key of a dictionary must be:,"an int, float, or string",an int or string,Mutable,Immutable,D,Jatin Dhall,Easy
271,"Given: x = -1
    which expression returns True?",0 <= x <= 15,x <= -12,x < 110,All of the above.,C,Jatin Dhall,Easy
272,"def final( P1, P2, P3 ): 
       P1[4] = ""shrubbery"" 
       if len(P2) > 3: 
            P2 = P2[:3] 
        P3.append( ""King of the Britons"" ) 
return "" "".join( P2 )

 A = ""That is no ordinary rabbit"".split()
 B = ""Four shalt thou not count"".split() 
C = ""Arthur"".split() D = final( A, B, C ) 
print( A ) # Line 1 
print( B ) # Line 2 
print( C ) # Line 3 
print( D ) # Line 4
What will be displayed by the Python code labeled ""Line 4""
","""Four shalt thou""","""Four shalt thou not count""","[’Four’, ’shalt’, ’thou’]","[’Four’, ’shalt’, ’thou’, ’not’, ’count’]",a,Haneet,Easy
273,"Given: S1 = {1,2,3} and S2 = {2,3,4}
    what is the value of S after this operation: S = S1 & S","A) {1, 2, 3, 4}
","B) {2, 3}","    C) {1, 4}","
 D) {}",B,Jatin Dhall,Easy
274,What is printed by: print(2**2*2),15,8,16,6,B,Jatin Dhall,Easy
275,"Given: s = 'spam'
    what is printed by: print(s.index('s'))",0, '',None,-1,A,Jatin Dhall,Easy
276,1) What is the 16-bit compiler allowable range for integer constants?,-3.4e38 to 3.4e38,-32767 to 32768,-32668 to 32667,-32768 to 32767,-32768 to 32767,Raehat Singh Nanda,Easy
277,What is printed by: print(2 and 3),2,-1,3,FALSE,C,Jatin Dhall,Easy
278,"Given: x = 0
    what is printed by: 
    if x:
        print(""Here"")
    else:
        print(""There"")",Here,There,None of the above,,B,Jatin Dhall,Easy
279,"main()  
{printf(""javatpoint"");  
main();}  ",Wrong statement,It will keep on printing javatpoint,It will Print javatpoint once,None of the these,It will keep on printing javatpoint,Raehat Singh Nanda,Easy
280,,,,,,,,Easy
281,"What does this expression return?
        {a*b for a in range(3) for b in range(3)}","{0, 0, 0, 1}","{0, 1}","{0, 1, 2, 4}","{0, 0, 0, 0, 1, 2, 0, 2, 4}",C,Jatin Dhall,Easy
282,"Consider this code
  L1 = ['a','b']
  L2 = [1, L1, 2]
  L1.append('c')
  print(L2)   # Line 1

  What is printed by Line 1?","A) [1, ['a', 'b'], 2]","
    B) [1, ['a', 'b', 'c'], 2]","
    C) [1, ['c'], 2]","
    D) [1, [['a', 'b'],['c']], 2]",B,Jatin Dhall,Easy
283,"Given
       value = input(""Input a number: "")
    What is the type of value if 7 is input at the prompt?",int,str,float,long,B,Jatin Dhall,Easy
284,"Given: x = 12
    what is printed by: print(0 <= x <= 12)
 ","A) False
     ",B) True,"
      C) 12
     ",D) 0,B,Jatin Dhall,Easy
285,What is printed by: print(5**2),10,25,5,TRUE,B,Jatin Dhall,Easy
286,"Given
        b = input(""Input a bool (True/False): "")
     What is the type of b if True is input at the prompt?",float,str,int,bool,B,Jatin Dhall,Easy
287,"Given: s = 'Hello'
    what is printed by: print(s.find('h'))",None, ' ',0,-1,D,Jatin Dhall,Easy
288,What is required in each C program?,The program must have at least one function.,The program does not require any function.,Input data,Output data,The program must have at least one function.,Raehat Singh Nanda,Easy
289,What is printed by: print(2 and 0),FALSE,TRUE,0,2,C,Jatin Dhall,Easy
290,"Given D = {'a': 11}
    What code changes D to be {'a': 1}?",D['a'] -= 10,"D['a'] = D.get('a',0) - 10","try:
            D['a'] += 1
        except KeyError:
            D['a'] = 1", All of the above,AC,Jatin Dhall,Easy
291,"Given s = {1,2,3}
    what is printed by print(s.add(4))","{1, 2, 3, 4}","{1, 2, 3}",{},None,D,Jatin Dhall,Easy
292,"Given: L1 = [4,5] and L2 = [1,2,3]
    what is the value of L after this operation: L = L1 + L2","[4,5,[1,2,3]]","[[4,5],[1,2,3]]","[1,2,3,4,5]","[4,5,1,2,3]",D,Jatin Dhall,Easy
293,"Given s = ""To be, or not to be, that is the question:""
    which code produces the following?
   ['To be', 'or not to be', 'that is the question']","s.strip(',:').split(',')","s.strip(',:').split(', ')",s.split().strip(),"s.split(',').strip()",B,Jatin Dhall,Easy
294,"What is the output when the following for loop is executed?

    for i in range(3,9,3):
	    print(i, end = ' ')",3 6,"""3 6 9""(Without the quotes)",3 4 5 6 7 8 ,3 4 5 6 7 8 9 ,A ,Jatin Dhall,Easy
295,"Given: x = []
    what is printed by: 
    if x:
        print(""Here"")
    else:
        print(""There"")",There,Here,None of the above,,A,Jatin Dhall,Easy
296,"Consider this code

  L1 = [1,2,3]
  L2 = [1,L1[:],2,3]
  L1.append(4)
  print(L2)   # Line 1

  What is printed by Line 1?","[1, [1, 2, 3, 4], 2, 3]","[1, [1, 2, 3], 2, 3]","[1,L1[:],2,3]","[1, 2, 3, 4] ",B,Jatin Dhall,Easy
297,"Given the list L = [('a', 1), ('b', 7), ('c', 5), ('d', 2)]
    what code generates D = {'a': 1, 'b': 7, 'c': 5, 'd': 2}?","D = dict([(x,y) for x,y in L])",D = dict(L),"D = { x:y for x,y in L }",All of the above,D,Jatin Dhall,Easy
298," A = 0
 B = 0
 C = 0
 D = 0
 for A in range(1,10,3):
 if A//2*2 == A:
 B += 1
 if A//4*4 == A:
 C +=1
 else:
 D += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 1"" is correct?",It will display 1 when the program is executed.,It will display 4 when the program is executed.,It will display 7 when the program is executed,It will display 10 when the program is executed.,c,Haneet,Easy
299,"What does this expression return?
        {a*b for a in range(3) for b in range(3)}","{0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9}","{0, 0, 0, 0, 1, 2, 0, 2, 4}","{0, 1, 2, 3, 4, 6, 9}","{0, 1, 2, 4}",D,Jatin Dhall,Easy
300,"Given: S1 = {1,2,3} and S2 = {1,3,5}
    what is the value of S after this operation: S = S1 ^ S2",{},"{1, 3}","{2, 5}","{1, 2, 3, 5}",D,Jatin Dhall,Easy
301,"What is printed by?
    print(5 + 2 % 5)",4,7,2,0,B,Jatin Dhall,Easy
302,"What is printed by?
    print(5 + 2 % 5)",1,"""1.0""",0,"""0.0""",C,Jatin Dhall,Easy
303,"What is printed by?
   
  i = 0
  while i < 5:
      print(i, end = ' ') #space between the single quotes
      i += 2
  else:
      print('0')","""0 2 4""","""0 2 4 6""","""0 2 4 6 0""","""0 2 4 0""",D,Jatin Dhall,Easy
304,"What is printed by?
	
	#""Love Me Do"" lyrics Lennon & McCartney
        Line1 = ""love, love me do""
        Line2 = ""you know I love you""
        Line3 = ""I'll always be true""
	Line4 = Line1 + Line2 + Line3   
	print(Line2.find('know'), Line4.count('love')) ","(4, 3)",4 3,True 3,True 2,B,Jatin Dhall,Easy
305," A = 0
 B = 0
 C = 0
 D = 0
 for A in range(1,10,3):
 if A//2*2 == A:
 B += 1
 if A//4*4 == A:
 C +=1
 else:
 D += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 2""",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,It will display 3 when the program is executed.,b,Haneet,Easy
306,"Given L = [], What is printed by:
       if L:
           print('first')
       else:
           print('second')",first,second,firstsecond,None,B,Jatin Dhall,Easy
307,"Given
       value = input(""Input a number: "")
    What is the type of value if 7 is input at the prompt?",str,int,float,long,A,Jatin Dhall,Easy
308,"Analyze the following code:
    Given: number = 27

	#Code 1:
	if number % 2 == 0: 
    	    even = True
	else: 
    	    even = False

	#Code 2:
	even = number % 2 == 0",Code 1 has errors,Code 2 has errors,Both Code 1 and Code 2 are correct.,Both Code 1 and Code 2 have errors.,C,Jatin Dhall,Easy
309,"What is printed by this sequence of instructions?

	L = [(1, 2), (3, 4), (5, 6)]
	res = [list(x) for x in L]
	print(res)  ","[1, 2, 3, 4, 5, 6]","[[1, 2, 3, 4, 5, 6]]","[[1, 2], [3, 4], [5, 6]]","[(1, 2), (3, 4), (5, 6)]",C,Jatin Dhall,Easy
310,"print('#^', ""adg says hi"".center(3), '^#', sep='')
What is the output of the above code?",#^adg says hi^#,adg says hi^#^,#^#adg says hi,Error,a,harsh vardhan,Easy
311,"Given this sequence of instructions:

      L1 = ['a','b','c']
      L2 = [1,L1[:],2,L1]
      L1.append(4)
      print(L2)

    What is printed?","[1, L1[:], 2, L1]","[1, ['a', 'b', 'c'], 2, ['a', 'b', 'c', 4]]","[1, ['a', 'b', 'c', 4], 2, ['a', 'b', 'c']]","[1, ['a', 'b', 'c', 4], 2, ['a', 'b', 'c', 4]]",B,Jatin Dhall,Easy
312,"What is printed by 
        D = dict() 
	for i in range (2): 
    	    for j in range(3): 
        	D[i] = j 
	print(D)","{0: 2, 1: 2}","{0: 1, 1: 1, 2: 1}","{0: 2, 1: 2, 2: 2}","{0: 0, 0: 1, 0: 2, 1: 0, 1: 1, 1: 2 }",A,Jatin Dhall,Easy
313,"What is printed by
   
      L = [2, 4, 6, 8, 10]
      print(L.pop(-2), L.remove(L[0]), L)
","8 None [4, 6, 10]","None 2 [4, 6, 10]","8 None [4, 6, 8, 10]","None 2 [4, 6, 8, 10]",A,Jatin Dhall,Easy
314,"What is printed by
   
	T1 = (1) 
	T2 = (3, 4) 
	T1 += 5
	print(T1, T1 + T2) ","(1, 5, 3, 4)","(5, 3, 4)","(6, 3, 4)",TypeError,D,Jatin Dhall,Easy
315,"What is printed by the following?
    Hint: careful, you are iterating through x and appending to x.

      x = ['KL', 'MN']
      for i in x:
          x.append(i.lower())
      print(x)","['k','l','m','n'] "," ['kl', 'mn']  ","['KL', 'MN', 'kl', 'mn']",No Output (Infinite loop),D,Jatin Dhall,Easy
316," A = 0
 B = 0
 C = 0
 D = 0
 for A in range(1,10,3):
 if A//2*2 == A:
 B += 1
 if A//4*4 == A:
 C +=1
 else:
 D += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 4"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,It will display 3 when the program is executed.,c,Haneet,Easy
317," A = 0
 B = 0
 C = 0
 D = 15
 while D >= 2:
 A += 1
 if D%2 == 0:
 B += 1
 else:
 C += 1
 D -= 3
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 1"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,None of the above,d,Haneet,Easy
318," A = 0
 B = 0
 C = 0
 D = 15
 while D >= 2:
 A += 1
 if D%2 == 0:
 B += 1
 else:
 C += 1
 D -= 3
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 2"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed,It will display 3 when the program is executed.,c,Haneet,Easy
319," A = 0
 B = 0
 C = 0
 D = 15
 while D >= 2:
 A += 1
 if D%2 == 0:
 B += 1
 else:
 C += 1
 D -= 3
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 3"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,It will display 3 when the program is executed.,d,Haneet,Easy
320," A = 0
 B = 0
 C = 0
 D = 15
 while D >= 2:
 A += 1
 if D%2 == 0:
 B += 1
 else:
 C += 1
 D -= 3
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3
 print( D ) # Line 4

Which of the following statements about the Python code labeled ""Line 3"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,It will display 3 when the program is executed.,a,Haneet,Easy
321,"print(round(4.576, 4))
What is the output of the above code?",4.57,4.6,4.576,4.5,c,harsh vardhan,Easy
322,"a = (""welcome {0[0]}, to {0[1]}"".format(('freshers', 'vit')))
b = (""welcome {0[0]}, to {0[1]}"".format(['freshers', 'vit']))
if(a==b):
    print(""Yolo"")
else:
    print(""bye"")

What is the output of the above code?",Yolo,bye,Error,None ,a,harsh vardhan,Easy
323,"inp = ""Tim Cook""
out = set([i for i in inp if i in ""aeiou""])
print(out)

What is the output of the above code?","['i', 'o']","{'i', 'o'}","{'T', 'm', ' ', 'k', 'C'}","['T', 'm', ' ', 'k', 'C']",b,harsh vardhan,Easy
324,,,,,,,,Easy
325,"x = [i**+3 for i in range(0,5)]
print(x)
What is the output of the above code?","[1, 4, 7, 10, 13]","[0, 1, 2, 3, 4]","[0, 1, 8, 27, 64]",Error,c,harsh vardhan,Easy
326,"a = [i for i in ""iPhone 13""]
print(""!"".join(a))
What is the output of the above code?",i!P!h!o!n!e! !1!3,iPhone 13,"['i', 'p', 'h', 'o', 'n', 'e', ' ', '1', '3']",None ,a,harsh vardhan,Easy
327,"print([if j%3==0: j; else: j+2; for j in range(12)])
What is the output of the above code?","[0,3,6,9]","[0, 2,4,6,8,10]",error,None ,c,harsh vardhan,Easy
328,"x = (""hello "")*4
print(set(x))
What is the output of the above code?","{'o', 'h', 'l', ' ', 'e'}",hello hello hello hello ,"['h', ' ', 'l', 'o', 'e']",None ,a,harsh vardhan,Easy
329,"x = (""a"", 'b', 'd')
x[1] = 'y'
print(x)
What is the output of the above code?",Error,"('a', 'y', 'd)","('a', 'b', 'c')","['a', 'y', 'd]",a,harsh vardhan,Easy
330,"x = list((""a"", 'b', 'd'))
x[1] = 'y'
print(x)
What is the output of the above code?",Error,"('a', 'y', 'd)","('a', 'b', 'd')","['a', 'y', 'd]",d,harsh vardhan,Easy
331,"x = (""a"", 'b', 'd')
del(x[0])
print(x)
What is the output of the above code?",Error,"['b', 'd']","('b', 'd')","('a', 'b', 'd')",a,harsh vardhan,Easy
332,"x = list((""a"", 'b', 'd'))
del(x[0])
print(x)
What is the output of the above code?",Error,"['b', 'd']","('b', 'd')","('a', 'b', 'd')",b,harsh vardhan,Easy
333,"x = dict((""a"", 'b', 'd'))
del(x[0])
print(x)
What is the output of the above code?",Error,"['b', 'd']","('b', 'd')","('a', 'b', 'd')",a,harsh vardhan,Easy
334,"x = {""a"":0, 'b':0, 'd':0}
del(x[0])
print(x)
What is the output of the above code?",Error,"{'b',:0 'd':0}","{'b', 'd'}","{'a', 'b', 'd'}",a,harsh vardhan,Easy
